campsites,year
"BC(12/04,5350m),C2(16/04,6350m),C3(03/05,7200m),C4(18/05,7900m),Smt(20/05)",2006
"BC(10/04,5300m),C1(15/04,6000m),C2(16/04,6300m),C3(25/04,7300m),C4(15/05,8000m),Smt(17/18,05)",2006
"BC(03/04,5200m),ABC(10/04,6400m),C2A(22/04,7400m),C3A(06/05,8000m),xxx(16/05,8000m); NColRte-C1(18/04,7000m),C2B(06/05,7800m),C3B(14/05,8300m),Smt(22/05)",1991
"BC(02/09),C1(04/09,5700m),C2.ABC(05/09,6500m),C3(24/09,7100m),C3.NCol(04/10,7000m),C4(07/10,7900m),C5(08/10,8350m),Smt(14/10)",1995
"BC(09/04,5200m),ABC(12/04,5550m),(series of Bivs),Smt(24/05)",2010
"BC(30/03),ABC1(02/04,5600m),ABC2(03/04,6200m),C1(20/04,7100m),C2(28/04,7500m),C3(11/05,7800m),C4(27/05,8250m),C5(28/05,8600m),Smt(30-31/05,01/06)",2004
"BC(29/03),C2.ABC(03/04,6500m),C3(10/04,7000m),C4(11/04,7700m),Biv1(12/04,8300m),Smt(13/04),Biv2(13/04,8500m),C5(14/04,6500m),C6(15/04,5300m)",1993
"BC(13/04,5243m),ABC(19/04,6526m),C1(24/04,7010m),C2(14/05,7772m),C3(15/05,8300m),Smt(16/05)",2007
"BC(07/10),ABC(13/04,6400m),C1(21/04,7100m),C2(09/05,7700m),C3(10/05,8300m),Smt(11/05)",2006
"BC(17/04,5180m),ABC(25/04,6400m),C1(29/04,7100m),C2(06/05,7600m),C3(20/05,8300m),Smt(21/05)",2017
"BC(07/04),ABC(26/04,6450m),C1(05/01,7100m),C2(15/04,7900m),Smt(16/05)",2006
"BC(19/03,5120m),C1(25/03,5400m),C2(26/03,5900m),C3(27/03,6400m),C4(27/03,6600m),C5(7000m),C6(29/04,7400m),C7(02/05,8100m),C8(03/05,8500m),Smt(25/05)",1960
"BC(13/03),C1(5500m),C2(6000m),C3(6500m),C4(7000m),C5(27/04,7600m),C6(04/05,8200m),C7(8600m),Smt(27/05)",1975
Smt(10/05),1980
"BC(10/03,5200m),C1(15/03,5500m),C2(17/03,6000m),ABC(19/03,6500m),C4(22/03,7050m),C5(11/04,7800m),C6(24/04,8200m),C7(06/05,8690m),Smt(10/05)",1990
"BC(08/03,5100m),ABC(25/03,6500m),C1(01/04,7050m),C2(08/04,7790m),C3(03/05,8300m),C4(04/05,8680m),Smt(05/05)",1993
"BC(02/04,5200m),ABC(07/04,6450m),C1(11/04,1050m),C2(25/04,7700m),C3(16/05,8300m),Smt(27/05)",1993
"BC(23/03),ABC(08/04,6500m),C1(20/04,7000m),C2(23/04,7900m),C3(30/04,8300m),Smt(12/05)",1995
"BC(24/03),ABC(09/04),C4(18/04,7000m),C5(27/04,7800m),C6(04/05,8300m),Smt(14,16/05)",1995
"BC(31/03,5500m),ABC(03/04,6300m),C1(17/04,7000m),C2(08/05,7600m),C3(11/05,8200m),Smt(12-13/05)",1995
"BC(04/04),ABC(09/04,6250m),C1(19/04,7000m0,C2(23/04,7550m),C3(09/05,8200m),Smt(11,13/05)",1995
"BC(07/04),ABC(17/04,6450m),C1(22/04,7000m),C2(01/05,7750m),C3(13/05,8350m),Smt(16/05)",1995
"BC(09/04),ABC(14/04,6400m),C1(20/04,7000m),C2(01/05,7800m),C3(15/05,8200m),Smt(17,26/05)",1995
"BC(11/04),ABC(18/04,6300m),C1(22/04,7000m),C2(25/04,7400m),C3(11/05,8200m),Smt(14/05)",1995
"BC(10/04),ABC(16/04,6450m),C1(25/04,7000m),C2(30/04,7800m),C3(13/05,8300m),Smt(14/05)",1995
"BC(15/04),ABC(19/04,6450m),C1(22/04,7000m),C2(01/05,7800m),C2(08/05,7600m),C3(11/05,8200m),Smt(12,14,17,23/05)",1995
"C3(8200m),Smt(14,17,24,26-27/05)",1995
"BC(09/04),ABC(14/04,6400m),C1(11/05,7700m),C2(12/05,8300m),Smt(13/05)",1995
"ChineseBC(02/09,6000m),C2.ABC(06/09,6500m),C3(21/09,7000m),C4(07/10,7900m),C5(08/10,8350m),Smt(14/10)",1995
"BC(04/04),ABC(14/04,6450m),C4(27/04,7020m),C5(10/05,8300m),Smt(11,13/05)",1996
"BC(05/04,5200m),ABC(11/04,6450m),C1(12/04,7050m),C2(21/04,7800m),C3(01/05,8300m),Smt(02,07,20,22/05)",1997
"BC(06/04,5200m),IC(13/04,5800m),ABC(14/04,6400m),C1(21/04,7000m),C2(26/04,7500m),C3(25/05,7900m),C4(26/05,8300m),Smt(29/05)",1997
"BC(09/04,5200m),ABC(14/04,6450m),C1(26/04,7066m),C2(07/05,7850m),C3(19/05,8200m),Smt(08,20/05)",1997
"BC(19/04,5200m),ABC(27/04,6460m),C1(01/05,7060m),C2(07/05,7800m),C3(21/05,8300m),Smt(22-23/05)",1997
"BC(28/03,5200m),C1(04/04,6000m),C2(06/04,6400m),C3(12/04,7010),C4(18/04,7800m),C5(26/04,8300m),Smt(07/05)",1997
"BC(27/03,5200m),ABC(01/04,6400m),C1(07/04,7000m),C2(07/05,7800m),C3(08/05,8300m),Smt(05/19,24/05)",1998
"BC(02/04),ABC(07/04,6300m),C1(15/04,7000m),C2(17/04,7500m),C3(05/05,8200m),Smt(18,21-22/05)",1998
"BC(05/04,5110m),ABC(09/04,6400m),C1(17/04,7000m),C2(27/04,7700m),C3(16/05,8200m),Smt(18/05)",1998
"BC(10/04,5000m),ABC(17/04,6600m),C1(28/04,7000m),C1(23/05,7900m),C3(24/05,8300m),Smt(25,27/05)",1998
"BC(10/04),ABC.C3(19/04,6300m),C4(24/04,7028m),C5(06/05,7780m),C6(17/05,8200m),Smt(18-19/05)",1998
"ChineseBC(11/04),C1(16/04,5500m),C2(17/04,4600m),C3.ABC(23/04,6300m),C4(03/05,7000m),C5(17/05,7800m),C6(18/05,8200m),Smt(19/05)",1998
"BC(11/04),C1(13/04,5500m),C2(14/04,6000m),C3(21/04,6500m),C4(25/04,7000m),C5(27/04,7600m),C6(17/05,8300m),Smt(18-19/05)",1998
