expid,peakid,year,season,host,route1,route2,route3,route4,nation,leaders,sponsor,success1,success2,success3,success4,ascent1,ascent2,ascent3,ascent4,claimed,disputed,countries,approach,bcdate,smtdate,smttime,smtdays,totdays,termdate,termreason,termnote,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,othersmts,campsites,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,primid,chksum
EVER21101,EVER,1921,1,2,"W, N & E sides",,,,UK,C. K. Howard-Bury,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Canada,Sikkim->Chumbi Valley->Tibet,1921/6/26,1921/9/24,,90,96,1921/9/30,12,Reconnaissance,7000,FALSE,FALSE,FALSE,0,0,9,0,1,21,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"BC(26/06),ABC(29/06),xxx(24/09,7000m)",Kellas and 1 porter died on approach march,Reached N Col at 7000m,,FALSE,FALSE,FALSE,FALSE,FALSE,,2424968
EVER22101,EVER,1922,1,2,N Col-N Face,,,,UK,Charles G. Bruce,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Australia,Sikkim->Chumbi Valley->Tibet,1922/5/1,1922/5/27,,26,44,1922/6/14,7,Abandoned at 8350m due to exhaustion and [later] avalanche accident,8320,FALSE,FALSE,FALSE,5,0,13,0,0,30,0,7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(01/05,5000m),C1(5100m),C2(5800m),C3(6400m),C4(7000m),C5A(20/05,7600m),C5B(26/05,7700m),xxx(27/05,8320m)",7 Sherpas killed in avalanche below N Col,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2425214
EVER24101,EVER,1924,1,2,N Col-N Face (Norton to 8570m),N Col-NE Ridge (Mallory to 8450m+),,,UK,Edward F. Norton,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Sikkim->Chumbi Valley->Tibet,1924/4/28,1924/6/8,,41,48,1924/6/15,6,Abandoned at 8600m after the disappearance of Mallory and Irvine,8600,FALSE,FALSE,FALSE,6,0,11,0,2,40,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(28/04,5000m),C1(30/04,5400m),C2(02/05,6000m),C3(6600m),C4(7000m),C5(01/06,7700m),C6(03/06,8170m),xxx(08/06,8600m)",Mallory and Irvine disappeared (fall?); 1 porter and 1 Ghurka NCO died of illness,Possible success by Mallory and Irvine?,,FALSE,FALSE,FALSE,FALSE,FALSE,,2425959
EVER33101,EVER,1933,1,2,N Col-N Face,,,,UK,Hugh Ruttledge,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Sikkim->Chumbi Valley->Tibet,1933/4/17,1933/5/30,,43,76,1933/7/2,10,,8570,FALSE,FALSE,FALSE,6,0,16,0,0,50,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"BC(17/04,5000m),C1(21/04,5400m),C2(26/04,6035m),C3A(02/05,6400m),C3B(08/05),C4(15/05,6950m),C5(22/05,7830m),C6(29/05,8350m),xxx(30/05,8570m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2429246
EVER34101,EVER,1934,1,2,N Col,,,,UK,Maurice Wilson,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1934/4/14,1934/5/24,,40,0,  -   -,6,,6900,FALSE,FALSE,FALSE,0,0,1,0,1,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/04,5000m),C1(17/04,5400m),C2(18/04,6035m),C3(14/05,6400m),xxx(24/05,6900m)",Wilson's death,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2429606
EVER35201,EVER,1935,2,2,N Col (recon to 7000m),W side (recon),,,UK,Eric Shipton,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,New Zealand,Sikkim->Chumbi Valley->Tibet,1935/7/6,1935/7/12,,6,39,1935/8/14,5,,7000,FALSE,FALSE,FALSE,4,0,7,0,0,16,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Climbed Lingtren (LING-352-01), attempted Changtse (CTSE-352-01)","BC(06/07,5000m),C1(06/07,5000m),C2(07/07,6035m),C3(08/07,6400m),C4(12/07,7000m),xxx(7000m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2430021
EVER36101,EVER,1936,1,2,N Col,,,,UK,Hugh Ruttledge,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Sikkim->Chumbi Valley->Tibet,1936/4/26,1936/5/14,,18,52,1936/6/17,4,,7000,FALSE,FALSE,FALSE,4,0,12,0,0,65,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Attempted Changtse (CTSE-361-01),"BC(26/04,5000m),C1(27/04,5400m),C2(06/05,6035m),C3(07/05,6550m),C4(14/05,7000m),xxx(7000m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2430329
EVER38101,EVER,1938,1,2,E Rongbuk Glacier-N Col,Main Rongbuk Glacier-N Col-N Face,,,UK,H. W. Tilman,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1938/4/9,1938/6/11,,63,66,1938/6/14,5,Abandoned at 8300m due to deep snow,8350,FALSE,FALSE,FALSE,6,0,7,0,0,16,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(09/04,5000m),C1(13/04,5400m),C2(18/04,6035m),C3(26/04,6550m),C4(28/05,7000m),xxx; Lake-Camp(5485m),NFace-Camp(5790m),WSide-Camp(6550m),C4(05/06,7000m),C5(06/06,7800m),C6(08/06,8300m),xxx(11/06,8350m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2431089
EVER47101,EVER,1947,1,2,N Col,,,,Canada,Earl Denman,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1947/4/8,1947/4/15,,7,9,1947/4/17,4,Abandoned below N Col due to high winds,6800,FALSE,FALSE,FALSE,0,0,1,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(08/04),Biv1,Biv2,Biv3,Biv4,xxx(15/04,6800m)",,Claimed altitude of 7150m,,FALSE,FALSE,FALSE,FALSE,FALSE,,2434328
EVER50301,EVER,1950,3,1,Khumbu Glacier (recon),,,,USA,Charles Houston,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,UK,Thyangboche->Gorakshep,1950/11/16,1950/11/19,,3,3,1950/11/19,12,,5790,FALSE,FALSE,FALSE,0,0,5,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Climbed S Face of Pumori to 5800m for view of Khumbu Glacier,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2435645
