header,deathcnt,deathpct,fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
,0,0,Alexander Mitchell,Kellas,Alexander Mitchell Kellas,UK,,M,52,1868,1921/6/5,,0,Jun 5,1921/6/5,Illness (non-AMS) (5700m)(e),Death enroute BC,10,5700,1,0,0,0,0,1,1921,1,1921 Spr,No summit bid,Did Not Climb or Intend to Smt,UK (C. K. Howard-Bury),0,0,0,EVER-211-01,04,EVER,China,0,,,,0,0,0,6,4,2,1,0,0,6965,LNPO
,0,0,,Unknown,Unknown,India,,M,0,,1921/6/30,,0,Jun 30,1921/6/30,Illness (non-AMS) (4300m)(e),Death enroute BC,10,4300,1,0,0,0,0,1,1921,1,1921 Spr,No summit bid,Did Not Climb or Intend to Smt,UK (C. K. Howard-Bury),1,0,0,EVER-211-01,13,EVER,China,0,,,,0,0,0,4,4,0,4,4,0,6300,KANG
,0,0,Dorje,Sherpa,Dorje Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,16,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Lhakpa,Sherpa,Lhakpa Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,17,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Norbu,Sherpa,Norbu Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,18,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Pasang,Sherpa,Pasang Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,19,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Pema,Sherpa,Pema Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,20,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Sange,Sherpa,Sange Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,21,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Temba,Sherpa,Temba Sherpa,Nepal,,M,0,,1922/6/7,13:30,13.5,Jun 7,1922/6/7,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1922,1,1922 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Charles G. Bruce),1,1,0,EVER-221-01,22,EVER,China,1,N Col-N Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Andrew Comyn (Sandy),Irvine,Andrew Comyn (Sandy) Irvine,UK,,M,22,1902,1924/6/8,,0,Jun 8,1924/6/8,Disappearance(8200m),Ascending in summit bid, 9,8200,4,0,0,0,1,0,1924,1,1924 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Edward F. Norton),0,0,0,EVER-241-01,06,EVER,China,2,N Col-NE Ridge (Mallory to 8450m+),,,0,0,0,0,0,0,0,0,0,0,
,0,0,George Herbert Leigh,Mallory,George Herbert Leigh Mallory,UK,,M,37,1886,1924/6/8,,0,Jun 8,1924/6/8,Fall (8160m),Ascending in summit bid, 4,8160,4,0,0,0,1,0,1924,1,1924 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Edward F. Norton),0,0,0,EVER-241-01,07,EVER,China,2,N Col-NE Ridge (Mallory to 8450m+),,,2,2,0,2,2,0,2,2,0,8170,EVER
,0,0,Shamsher,Pun,Shamsher Pun,Nepal,,M,0,,1924/5/13,,0,May 13,1924/5/13,AMS (5300m)(a),Death at BC, 1,5300,2,1,0,0,0,1,1924,1,1924 Spr,No summit bid,Did Not Climb or Intend to Smt,UK (Edward F. Norton),1,0,0,EVER-241-01,13,EVER,China,0,,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Man Bahadur,,Man Bahadur,Nepal,,M,0,,1924/5/25,,0,May 25,1924/5/25,Exposure/Frostbite (5000m),Death at BC, 3,5000,2,0,0,0,0,1,1924,1,1924 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Edward F. Norton),1,0,0,EVER-241-01,12,EVER,China,0,,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Maurice,Wilson,Maurice Wilson,UK,,M,36,1898,1934/6/1,,0,Jun 1,1934/6/1,Exposure/Frostbite (6500m),Route preparation, 3,6500,3,0,0,0,0,1,1934,1,1934 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Maurice Wilson),0,0,0,EVER-341-01,01,EVER,China,1,N Col,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Mingma Dorje,Sherpa,Mingma Dorje Sherpa,Nepal,,M,0,,1952/10/31,10:00,10,Oct 31,1952/10/31,Falling Rock/Ice (6950m),Route preparation, 8,6950,3,0,0,0,0,1,1952,3,1952 Aut,No summit bid,Accident (Death or Injury to Self or Others),Switzerland (Gabriel Chevalley),1,1,0,EVER-523-01,17,EVER,Nepal,1,S Col-SE Ridge,,,1,1,0,1,1,0,1,1,0,7950,EVER
,0,0,Ji,Wang,Ji Wang,China,,M,0,,Spr 1960,,0,,  -   -,AMS (6400m)(a),Route preparation, 1,6400,3,1,0,0,0,0,1960,1,1960 Spr,,,China (Shi Zhang-Chun),0,0,0,EVER-601-02,22,EVER,China,1,N Col-NE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Nawang Tshering,Sherpa,Nawang Tshering Sherpa,Nepal,,M,0,,1962/4/27,16:00,16,Apr 27,1962/4/27,Falling Rock/Ice (6700m),Route preparation, 8,6700,3,0,0,0,0,1,1962,1,1962 Spr,No summit bid,Accident (Death or Injury to Self or Others),India (John Dias),1,1,0,EVER-621-01,19,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,John Edgar (Jake),Breitenbach,John Edgar (Jake) Breitenbach,USA,,M,27,1935,1963/3/23,14:00,14,Mar 23,1963/3/23,Icefall Collapse (5800m),Route preparation, 6,5800,3,0,0,0,0,1,1963,1,1963 Spr,No summit bid,Did Not Climb or Intend to Smt,USA (Norman Dyhrenfurth),0,0,0,EVER-631-01,05,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
