expid,year,season,host,route1,route2,campsites,nation,leaders,success1,success2,claimed,disputed,countries,bcdate,smtdate,smttime,smthour,smtmin,smtdays,totdays,termdate,termreason,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,chksum
EVER60102,1960,1,2,N Col-NE Ridge,,"BC(19/03,5120m),C1(25/03,5400m),C2(26/03,5900m),C3(27/03,6400m),C4(27/03,6600m),C5(7000m),C6(29/04,7400m),C7(02/05,8100m),C8(03/05,8500m),Smt(25/05)",China,Shi Zhang-Chun,TRUE,FALSE,FALSE,FALSE,,1960/3/19,1960/5/25,205,2,5,67,0,  -   -,1,8850,FALSE,FALSE,FALSE,8,0,29,3,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2439130
EVER75102,1975,1,2,N Col-NE Ridge,,"BC(13/03),C1(5500m),C2(6000m),C3(6500m),C4(7000m),C5(27/04,7600m),C6(04/05,8200m),C7(8600m),Smt(27/05)",China,Shi Zhang-Chun,TRUE,FALSE,FALSE,FALSE,,1975/3/13,1975/5/27,1215,12,15,75,0,  -   -,1,8850,FALSE,FALSE,FALSE,7,0,35,9,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,2nd ascent by a woman,,TRUE,TRUE,FALSE,FALSE,FALSE,2444625
EVER80103,1980,1,2,N Col-NE Ridge,N Face (Japanese & Hornbein Couloirs),"Smt(03,10/05) (See Route Details)",Japan,Hyoriki Watanabe,TRUE,TRUE,FALSE,FALSE,,1980/3/5,1980/5/3,1655,16,55,59,0,  -   -,1,8850,FALSE,FALSE,FALSE,7,0,27,3,1,22,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Akira Ube died in avalanche,,,FALSE,FALSE,FALSE,FALSE,FALSE,2446433
EVER80201,1980,2,2,N Col-N Ridge-N Face,,"BC(04/07,5100m),ABC(14/07,6500m),Biv1(18/08,7800m),Biv2(19/08,8200m),Smt(20/08),Biv3(20/08,8200m)",Italy,Reinhold Messner,TRUE,FALSE,FALSE,FALSE,Canada,1980/7/4,1980/8/20,1300,13,0,47,56,1980/8/29,1,8850,FALSE,FALSE,FALSE,1,0,2,1,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1st solo ascent,,TRUE,TRUE,FALSE,FALSE,FALSE,2446542
EVER85201,1985,2,2,N Col-N Face/N Ridge,,"BC(02/07,5150m),ABC(09/07,6500m),C4(31/07,7100m),C5(06/08,7750m),C6(11/08,8450m),Smt(28/08)",Spain,Conrad Blanch,TRUE,FALSE,FALSE,FALSE,,1985/7/2,1985/8/28,1820,18,20,57,0,  -   -,1,8850,FALSE,FALSE,FALSE,4,0,14,3,0,5,3,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Member's toes frostbitten badly; Ang Karma fell 70-80m near 2nd Step but not really hurt; Valles bad altitude sickness from summit (used oxygen half bottle during descent to ABC),,,TRUE,TRUE,FALSE,FALSE,FALSE,2448426
EVER88101,1988,1,2,N Col-NE Ridge,,"BC(06/03,5154m),C1(11/03,5500m),C2(12/03,6000m),ABC C3(17/03,6500m),C4(01/04,7028m),C5(08/04,7790m),C6(02/05,8200m),C7(04/05,8680m),Smt(05/05)",China,"Shi Zhang-Chun, Toshio Imanishi, Kumar Khadga Bikram Shah",TRUE,TRUE,FALSE,FALSE,"Japan, Nepal",1988/3/6,1988/5/5,925,9,25,60,73,1988/5/18,1,8850,TRUE,FALSE,FALSE,7,0,99,14,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No accidents, frostbite or serious illness except doctor who died",,,FALSE,FALSE,FALSE,FALSE,FALSE,
EVER90103,1990,1,2,N Col-NE Ridge,,"BC(10/03,5200m),C1(15/03,5500m),C2(17/03,6000m),ABC(19/03,6500m),C4(22/03,7050m),C5(11/04,7800m),C6(24/04,8200m),C7(06/05,8690m),Smt(07-10/05)",USA,"Jim Whittaker, Vladimir Shataev, Lobsang Dawa",TRUE,FALSE,FALSE,FALSE,"China, USSR",1990/3/9,1990/5/7,1313,13,13,59,0,  -   -,1,8850,FALSE,FALSE,FALSE,7,0,39,20,0,7,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Woods pneumonia thrombophlebitis; Whittaker badly torn muscle,,Lost Fortunes,TRUE,TRUE,FALSE,FALSE,FALSE,2450189
EVER91104,1991,1,2,N Col-N Ridge-N Face,NE Ridge,"BC(13/03,5150m),C119/03,5500m),C2(20/03,6100m),ABC(21/03,6500m),C4(30/03,7000m),C5(21/04,7600m),C6(07/05,8300m),Smt(15,17,21,24/05)",USA,Eric Simonson,TRUE,FALSE,FALSE,FALSE,"Australia, New Zealand",1991/3/13,1991/5/15,1230,12,30,63,76,1991/5/28,1,8850,FALSE,FALSE,FALSE,6,0,22,8,0,12,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,,Mountain Travel,FALSE,FALSE,FALSE,FALSE,FALSE,2450563
EVER91116,1991,1,2,N Col-N Ridge-N Face,,"BC(30/04),ABC(03/05,6500m),C1(13/05,7000m),C2(14/05,7800m),C3(26/05,8200m),Smt(27/05)",Japan,Muneo Nukita,TRUE,FALSE,FALSE,FALSE,,1991/4/30,1991/5/27,1300,13,0,27,30,1991/5/30,1,8850,FALSE,FALSE,FALSE,3,0,2,2,1,6,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No problem at all until fatal fall, until then ""everything went perfectly""",,,TRUE,TRUE,FALSE,FALSE,FALSE,2450575
EVER93102,1993,1,2,N Col-NE Ridge,,"BC(08/03,5100m),ABC(25/03,6500m),C1(01/04,7050m),C2(08/04,7790m),C3(03/05,8300m),C4(04/05,8680m),Smt(05/05)",China,"Zeng Shu-Sheng, Lee Cheng-Yen",TRUE,FALSE,FALSE,FALSE,Taiwan,1993/3/8,1993/5/5,,,,58,0,  -   -,1,8850,FALSE,FALSE,FALSE,4,2000,16,2,0,14,4,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Frostbite to all six summiters,,,TRUE,TRUE,FALSE,FALSE,FALSE,2451286
