expid,year,season,host,route1,route2,campsites,nation,leaders,success1,success2,claimed,disputed,countries,bcdate,smtdate,smttime,smthour,smtmin,smtdays,totdays,termdate,termreason,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,chksum
EVER52101,1952,1,1,S Col-SE Ridge,,"BC(20/04,5050m),C1(25/04,5250m),C2(28/04,5600m),C3(06/05,6000m),C4(10/05,6450m),C5(14/05,6900m),Biv(25/05,7880m),C6(26/05,7950m),C7(27/05,8390m),xxx(28/05,8600m)",Switzerland,Edouard Wyss-Dunant,FALSE,FALSE,FALSE,FALSE,,1952/4/20,1952/5/28,,,,38,47,1952/6/6,7,8600,FALSE,FALSE,FALSE,7,0,11,0,0,14,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2436203
EVER52301,1952,3,1,S Col-SE Ridge,,"BC(07/10,5050m),C1(08/10,5250m),C2(10/10,5600m),C3(6000m),C4(6450m),C5(26/10,6900m),C6(04/11,7100m),C7(14/11,7500m),C8(19/11,7880m),xxx(20/11,8100m)",Switzerland,Gabriel Chevalley,FALSE,FALSE,FALSE,FALSE,,1952/10/7,1952/11/20,,,,44,51,1952/11/27,4,8100,FALSE,FALSE,FALSE,7,0,7,0,0,23,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1 Sherpa killed by ice avalanche, 2 porters died on approach march",,,TRUE,TRUE,FALSE,FALSE,FALSE,2436379
EVER53101,1953,1,1,S Col-SE Ridge,,"BC(12/04,5450m),C2(15/04,5900m),C3(22/04,6150m),C4.ABC(01/05,6460m),C5(03/05,6700m),C6(04/05),C7(17/05,7315m),C8(22/05,7950m),C9(28/05,8500m),Smt(29/05)",UK,John Hunt,TRUE,FALSE,FALSE,FALSE,New Zealand,1953/4/12,1953/5/29,1130,11,30,47,52,1953/6/3,1,8850,FALSE,FALSE,FALSE,9,0,13,1,0,20,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2436570
EVER56101,1956,1,1,S Col-SE Ridge,,"BC(07/04,5450m),C1(11/04,5800m),C2(13/04,6100m),C3.ABC(18/04,6500m),C4(01/05,6950m),C5A(06/05,7500m),C6B(20/05,8000m),C7(22/05,8400m),Smt(23-34/05)",Switzerland,Albert Eggler,TRUE,FALSE,FALSE,FALSE,,1956/4/7,1956/5/23,1400,14,0,46,54,1956/5/31,1,8850,FALSE,FALSE,FALSE,7,0,11,4,0,28,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2437663
EVER60101,1960,1,1,S Col,,"BC(05/04,5450m),C1(10/04,5850m),C2(15/04,6100m),C3.ABC(17/04,6460m),C4(19/04,6700m),C5(02/05,7300m),C6(09/05,7950m),C7(24/05,8400m),xxx(25/05,8625m)",India,Gyan Singh,FALSE,FALSE,FALSE,FALSE,Nepal,1960/4/5,1960/5/25,,,,50,55,1960/5/30,4,8625,FALSE,FALSE,FALSE,7,0,22,0,0,10,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2439130
EVER62101,1962,1,1,S Col-SE Ridge,,"BC(29/03,5360m),C1(01/04,5800m),C2(6560m),C3(07/04,6560m),C4(08/04,6830m),C5(06/05,7200m),C6(24/05,8000m),C7(28/05,8440m),xxx(30/05,8720m)",India,John Dias,FALSE,FALSE,FALSE,FALSE,,1962/3/29,1962/5/30,,,,62,0,  -   -,4,8720,FALSE,FALSE,FALSE,7,0,14,0,0,44,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1 Sherpa killed by falling rock below C4,,,TRUE,TRUE,FALSE,FALSE,FALSE,2439867
EVER63101,1963,1,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,"BC(21/03,5425m),C1(30/03,6160m),C2.ABC(02/04,6510m),C3(07/04,7250m),C4(15/05,7650m),C5(16/05,7950m),C6(21/05,8300m),Smt(01,22/05); C3W(07/04,7250m),C4W(15/05,7650m),C5W(21/05,8300m),Smt(22/05),Biv(22/05,8530m)",USA,Norman Dyhrenfurth,TRUE,TRUE,FALSE,FALSE,UK,1963/3/21,1963/5/1,1300,13,0,41,65,1963/5/25,1,8850,TRUE,FALSE,FALSE,6,0,20,5,1,40,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Breitenbach killed in Khumbu Icefall,,,FALSE,FALSE,FALSE,FALSE,FALSE,2440204
EVER65101,1965,1,1,S Col-SE Ridge,,"BC(22/03,5425m),C1(27/03,6100m),C2(04/04,6490m),C3(06/04,6980m),C4(08/03,7620m),C5(18/05,7986m),C6(19/05,8513m),Smt(20,22,24,29/05)",India,M. S. Kohli,TRUE,FALSE,FALSE,FALSE,,1965/3/22,1965/5/20,0930,9,30,59,71,1965/6/1,1,8850,FALSE,FALSE,FALSE,6,0,20,8,0,46,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2440956
EVER70102,1970,1,1,S Col-SE Ridge,SW Face (to 8050m),"BC(23/03,5350m),Dep(5800m),C1(04/04,6150m),C2(16/04,6450m),C3(18/04,6950m),C4(26/04,7500m),C5(26/04,7986m),C6(10/05,8513m),Smt(11-12/05); SWFaceC2.ABC(17/04,6600m),C3(18/04,7000m),C4(06/05,7500m),xxx(10/05,8050m)",Japan,Hiromi Ohtsuka,TRUE,FALSE,FALSE,FALSE,,1970/3/23,1970/5/11,0910,9,10,49,59,1970/5/21,1,8850,FALSE,FALSE,FALSE,6,0,39,3,1,56,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1 Sherpa killed by icefall; 1 member died of heart attack,,,FALSE,FALSE,FALSE,FALSE,FALSE,2442778
EVER71301,1971,3,1,S Col-SE Ridge,,"BC(14/09),C1(17/09,6065m),C2(19/09,6450m),C3(21/09,6950m),C4(7400m),C5(28/10,7950m),xxx(30/10,8100m)",Argentina,Hector Cativa Tolosa,FALSE,FALSE,FALSE,FALSE,,1971/9/14,1971/10/30,,,,46,0,  -   -,4,8100,FALSE,FALSE,FALSE,5,0,20,0,0,24,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,2443316
